Respondent_ID,Gender,Age_Group,Education,Experience,Organization_Size,IT_Subsector,Role_Level,GHRM1,GHRM2,GHRM3,GHRM4,GHRM5,GHRM6,GHRM7,GHRM8,GHRM9,GHRM10,GHRM11,GHRM12,GHRM13,GHRM14,GHRM15,GHRM16,GHRM17,GHRM18,EGB1,EGB2,EGB3,EGB4,EGB5,EGB6,EGB7,EGB8,EGB9,EGB10,EGB11,EGB12,GOC1,GOC2,GOC3,GOC4,GOC5,GOC6,GOC7,GOC8,EK1,EK2,EK3,EK4,EK5,EK6,SO1,SO2,SO3,SO4,SO5,SO6,SO7,SO8,SO9,SO10
R0087,Male,41-45,Bachelor's,6-10 yrs,Small (<500),IT Services/ITES,Senior/Managerial,3,2,4,3,2,2,3,3,3,3,3,2,3,2,3,2,3,3,2,2,1,1,1,2,1,1,2,1,3,1,1,3,2,3,2,2,2,2,2,2,2,3,2,1,2,3,3,3,3,2,2,3,3,3
R0088,Male,41-45,Bachelor's,6-10 yrs,Large (>2000),Digital Enterprises,Mid-level,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3,3,4,4,5,4,5,4,4,5,5,5,4,5,5,3,3,4,4,4,4,3,4,4,4,4,5,4,5,5,5,5,5,4,5,5,4,5,5
R0089,Male,31-35,Bachelor's,11-15 yrs,Medium (500-2000),Digital Enterprises,Mid-level,4,4,3,4,4,5,5,4,5,5,4,4,4,5,5,5,4,4,3,4,4,4,4,4,4,5,4,5,3,3,5,5,5,5,4,5,5,5,2,3,3,3,3,2,4,3,4,3,4,3,3,4,3,3
R0090,Male,21-25,Master's,6-10 yrs,Large (>2000),Digital Enterprises,Mid-level,4,4,3,5,5,4,3,5,4,3,3,4,5,3,4,3,5,5,3,2,2,2,3,3,2,2,3,3,3,2,3,4,3,3,3,3,4,3,4,4,5,4,3,3,2,2,1,3,2,2,2,2,2,2
R0091,Female,31-35,Master's,6-10 yrs,Small (<500),IT Services/ITES,Mid-level,4,5,4,4,5,5,3,4,5,4,4,4,5,4,4,4,4,5,4,2,3,3,3,4,3,3,4,3,3,3,2,3,3,2,3,3,4,3,4,4,5,5,4,5,5,4,4,4,5,4,5,5,5,4
R0092,Female,36-40,Bachelor's,11-15 yrs,Small (<500),Software Products,Senior/Managerial,4,4,3,3,4,3,3,3,3,4,3,3,3,3,3,4,3,3,2,2,2,3,2,2,3,2,2,3,2,2,5,4,3,3,3,4,2,3,5,5,5,5,5,5,4,4,3,4,5,4,5,4,5,5
R0093,Male,26-30,Master's,2-5 yrs,Small (<500),AI/ML Firms,Senior/Managerial,3,3,2,2,3,3,2,3,3,3,2,3,3,2,3,3,3,2,5,4,4,4,4,4,5,4,4,4,4,3,5,5,4,5,5,5,5,4,4,4,3,3,3,4,5,5,4,5,5,4,5,5,4,4
R0094,Male,26-30,Bachelor's,>15 yrs,Medium (500-2000),Software Products,Senior/Managerial,3,4,4,3,3,3,3,3,3,3,4,4,4,4,4,4,3,3,5,4,4,4,3,4,4,3,4,4,4,4,3,3,2,3,2,3,2,2,4,4,3,4,5,4,5,4,4,5,4,4,5,5,4,5
R0095,Male,41-45,Master's,2-5 yrs,Large (>2000),AI/ML Firms,Mid-level,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,3,2,4,2,2,3,1,2,3,2,2,2,1,2,1,2,1,2,3,1,1,1,1,1,1,3,2,2,2,3,3,3,1,2,3
R0096,Female,36-40,Bachelor's,6-10 yrs,Medium (500-2000),Software Products,Senior/Managerial,2,1,1,2,1,1,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,2,1,1,1,4,4,4,4,3,4,4,3,5,5,4,4,5,5,2,3,3,3,2,3,3,4,3,2
R0097,Male,31-35,Master's,6-10 yrs,Small (<500),AI/ML Firms,Mid-level,1,1,1,1,1,2,1,1,2,2,1,2,2,1,2,1,1,1,2,3,3,3,2,3,3,1,2,3,2,2,3,3,3,3,2,3,3,3,2,2,2,1,2,2,3,2,3,3,2,2,2,3,2,3
R0098,Female,41-45,Bachelor's,6-10 yrs,Medium (500-2000),Software Products,Mid-level,1,1,2,2,2,2,2,3,2,2,2,2,2,2,3,2,2,2,4,5,5,4,4,5,4,4,4,4,5,5,5,5,4,4,3,4,4,4,2,3,2,2,3,3,3,3,4,2,4,3,3,3,3,3
R0099,Female,31-35,Master's,6-10 yrs,Medium (500-2000),Digital Enterprises,Entry-level,4,4,4,4,4,4,4,5,4,4,4,3,4,4,4,3,4,4,3,2,2,3,3,2,2,3,2,3,2,3,3,4,4,4,4,3,4,5,4,4,4,3,3,5,3,3,3,3,4,3,4,4,3,3
R0100,Female,41-45,Master's,<2 yrs,Large (>2000),IT Services/ITES,Senior/Managerial,2,2,2,2,2,2,2,2,3,2,2,2,1,2,3,2,2,2,5,5,5,5,5,5,5,5,4,5,5,5,4,4,5,5,4,5,5,4,1,1,1,1,2,1,5,5,5,5,5,5,5,5,5,5
R0101,Female,21-25,Doctorate,11-15 yrs,Medium (500-2000),Software Products,Senior/Managerial,3,3,3,3,2,3,3,2,3,1,3,3,2,3,3,3,3,3,3,3,4,4,3,4,3,3,2,2,2,3,2,1,1,3,3,2,2,2,4,4,5,3,4,4,2,3,2,1,1,2,2,2,2,2
R0102,Male,31-35,Bachelor's,2-5 yrs,Large (>2000),IT Services/ITES,Senior/Managerial,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,3,5,4,4,5,4,5,4,4,4,4,4,4,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5
R0103,Female,36-40,Master's,6-10 yrs,Large (>2000),IT Services/ITES,Mid-level,3,2,4,3,4,3,3,3,3,2,3,3,3,2,3,3,2,2,3,3,2,2,3,3,3,3,2,2,2,3,4,4,3,4,3,3,3,3,3,4,3,5,4,4,1,1,1,1,1,2,2,2,1,2
R0104,Female,31-35,Bachelor's,11-15 yrs,Large (>2000),Digital Enterprises,Senior/Managerial,4,5,5,5,5,5,5,4,5,5,4,4,4,4,4,5,5,5,3,3,2,3,3,3,2,2,4,2,3,3,2,2,2,2,2,2,4,2,2,2,3,2,2,2,4,4,4,4,3,4,4,3,4,4
R0105,Female,26-30,Bachelor's,6-10 yrs,Medium (500-2000),IT Services/ITES,Mid-level,2,2,3,2,2,2,2,2,1,2,1,2,3,2,2,2,1,1,2,2,2,2,2,3,1,3,3,3,2,3,2,1,1,3,1,1,1,1,3,3,3,4,3,4,3,3,3,2,3,3,2,2,2,1
R0106,Female,36-40,Master's,11-15 yrs,Small (<500),IT Services/ITES,Senior/Managerial,3,2,3,2,3,3,3,3,3,4,3,4,3,2,2,3,3,2,4,3,3,4,4,3,3,4,3,3,3,5,5,4,4,5,5,5,5,5,4,4,5,5,5,5,1,2,2,2,3,1,2,2,1,2
R0107,Female,31-35,Bachelor's,2-5 yrs,Small (<500),IT Services/ITES,Entry-level,2,2,1,1,2,2,2,3,3,3,2,1,3,2,1,2,1,2,3,2,2,2,3,2,3,2,4,2,2,2,4,3,3,3,3,3,3,3,1,1,1,1,1,1,4,3,3,4,3,4,3,3,3,3
R0108,Female,26-30,Master's,2-5 yrs,Large (>2000),AI/ML Firms,Senior/Managerial,2,2,2,3,3,3,3,3,4,3,3,3,3,4,3,3,2,3,1,2,1,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,3,2,2,2,2,3,3,2,3,2,2,2,1,2,2,2,2
R0109,Female,31-35,Bachelor's,2-5 yrs,Medium (500-2000),Software Products,Mid-level,4,4,5,4,5,5,5,4,5,5,5,5,4,4,4,4,5,4,4,4,5,3,4,5,4,4,4,4,5,5,4,5,4,4,4,4,4,4,5,5,5,5,5,5,2,2,3,2,3,2,3,3,2,2
R0110,Female,36-40,Master's,11-15 yrs,Medium (500-2000),Digital Enterprises,Mid-level,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,5,5,5,4,5,4,4,3,4,3,3,1,3,2,2,2,2,3,2,2,2
R0111,Male,31-35,Master's,11-15 yrs,Medium (500-2000),IT Services/ITES,Entry-level,5,5,4,5,4,4,3,4,4,3,4,4,5,5,4,4,4,4,2,3,3,2,2,2,2,3,3,3,4,3,1,1,1,1,2,1,1,1,5,4,4,5,3,4,5,5,5,5,4,5,5,5,5,4
R0112,Male,31-35,Master's,11-15 yrs,Small (<500),Digital Enterprises,Mid-level,4,3,3,3,4,4,2,4,5,4,4,4,4,4,4,4,3,4,2,3,2,3,3,3,3,3,3,2,3,3,1,2,2,1,1,2,1,2,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5
R0113,Female,26-30,Master's,6-10 yrs,Medium (500-2000),AI/ML Firms,Entry-level,3,2,2,2,2,2,3,3,2,2,2,3,2,2,2,2,2,2,3,3,2,2,2,2,3,2,3,2,3,3,2,3,3,2,2,2,2,3,5,3,4,4,4,5,4,4,3,3,3,2,4,4,3,3
R0114,Female,21-25,Master's,2-5 yrs,Medium (500-2000),Software Products,Senior/Managerial,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,2,4,4,5,4,4,5,3,3,4,4,4,5,5,5,4,5,5,5,5,5,4,4,4,4,5,4,4,3,3,3,4,2,3,4,4,3
R0115,Female,36-40,Master's,2-5 yrs,Small (<500),IT Services/ITES,Mid-level,3,4,3,4,4,3,5,4,4,3,4,3,3,4,4,3,3,3,3,3,4,4,5,4,4,4,3,3,4,4,5,5,5,3,4,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
R0116,Male,36-40,Master's,6-10 yrs,Large (>2000),Software Products,Leadership,3,2,2,2,3,2,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,2,5,4,5,4,5,5,5,4,3,3,3,4,4,3,5,5,5,5,5,5,5,5,5,5
R0117,Female,31-35,Master's,<2 yrs,Small (<500),Software Products,Mid-level,4,4,5,3,2,4,3,4,5,4,4,4,4,4,3,3,4,4,1,1,2,2,1,1,2,2,2,1,1,1,3,3,3,3,2,3,2,1,3,3,2,3,3,3,4,4,4,4,5,4,4,3,5,4
R0118,Male,31-35,Master's,6-10 yrs,Large (>2000),Software Products,Senior/Managerial,4,4,3,3,4,3,3,4,3,3,3,4,4,3,3,3,4,4,3,4,3,2,2,2,3,3,3,3,3,4,2,2,3,2,1,2,2,3,5,4,4,4,4,5,2,4,3,2,3,2,3,3,3,3
R0119,Female,26-30,Bachelor's,11-15 yrs,Medium (500-2000),Digital Enterprises,Senior/Managerial,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4,5,5,5,5,5,5,5,5,5,5
R0120,Female,31-35,Bachelor's,2-5 yrs,Large (>2000),IT Services/ITES,Senior/Managerial,3,3,3,3,2,4,3,3,4,3,3,4,3,3,4,3,3,4,2,2,2,2,3,2,2,2,1,2,2,3,3,3,4,3,2,3,4,4,3,3,3,3,2,3,4,3,2,4,4,4,4,4,3,3
R0121,Female,31-35,Master's,6-10 yrs,Large (>2000),IT Services/ITES,Mid-level,1,1,2,1,3,3,3,2,1,2,1,1,3,1,1,1,2,1,4,4,5,5,4,5,5,4,4,4,4,3,4,4,3,4,4,4,3,3,2,2,2,1,1,3,2,2,1,2,2,2,2,2,2,2
R0122,Female,31-35,Master's,6-10 yrs,Medium (500-2000),IT Services/ITES,Mid-level,3,4,4,4,2,4,5,4,4,4,4,4,3,4,3,4,4,4,2,2,2,2,2,2,2,2,2,2,1,2,3,3,4,4,3,3,4,3,5,5,5,5,5,5,3,5,3,5,4,5,4,4,5,5
R0123,Female,26-30,Master's,<2 yrs,Medium (500-2000),Software Products,Entry-level,4,3,3,4,4,3,4,3,4,4,3,4,4,3,3,4,4,4,3,3,3,3,4,5,3,3,4,4,3,4,4,4,4,5,5,5,5,4,4,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5
R0124,Male,26-30,Doctorate,2-5 yrs,Large (>2000),IT Services/ITES,Senior/Managerial,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,4,4,4,4,4,4,4,4,4,4,4,5,4,5,4,4,5,3,4,3,3,3,3,5,5,5,5,5,5,5,5,5,5
R0125,Female,41-45,Master's,6-10 yrs,Medium (500-2000),IT Services/ITES,Mid-level,4,5,5,5,4,5,4,5,5,4,5,5,4,5,4,5,5,5,5,5,5,4,5,4,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
R0126,Male,31-35,Master's,11-15 yrs,Small (<500),Digital Enterprises,Mid-level,4,4,4,3,4,4,5,4,4,3,4,5,4,4,4,4,4,4,3,3,2,3,3,4,3,3,4,4,3,3,5,5,5,4,5,5,5,5,4,3,4,4,3,3,4,3,4,4,4,4,5,4,4,4
R0127,Male,41-45,Master's,2-5 yrs,Large (>2000),AI/ML Firms,Leadership,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,4,4,4,4,4,3,4,3,2,2,3,3,2,3,2,2,4,4,4,4,4,4,5,5,4,5,4,5,5,4,5,5
R0128,Female,36-40,Bachelor's,2-5 yrs,Medium (500-2000),Software Products,Senior/Managerial,1,1,1,1,2,2,1,2,2,2,1,2,1,2,1,1,2,2,3,3,3,3,3,3,4,3,3,4,4,4,1,1,1,1,1,1,1,1,5,4,4,4,4,4,4,4,4,4,3,3,4,3,2,4
R0129,Male,36-40,Bachelor's,<2 yrs,Medium (500-2000),AI/ML Firms,Mid-level,2,2,2,3,3,3,3,1,4,2,2,2,3,2,2,3,3,3,3,3,3,2,1,3,3,2,3,2,2,2,5,4,5,5,5,5,5,5,1,1,2,1,2,2,3,3,2,2,2,2,2,2,2,1
R0130,Female,26-30,Master's,6-10 yrs,Large (>2000),IT Services/ITES,Mid-level,1,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,3,3,3,3,4,2,3,3,2,5,5,5,5,4,4,5,5,3,5,4,5,3,4,3,3,2,3,2,3,2,2,2,2
R0131,Male,21-25,Master's,2-5 yrs,Large (>2000),Software Products,Senior/Managerial,2,3,3,3,2,3,3,3,3,3,2,3,2,4,3,3,3,3,4,3,3,4,3,3,4,2,4,4,3,3,3,3,2,2,3,2,1,2,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5
R0132,Male,31-35,Bachelor's,6-10 yrs,Small (<500),Software Products,Senior/Managerial,1,1,1,2,2,2,1,1,1,2,2,1,2,2,1,2,1,1,3,3,4,4,3,3,3,3,4,4,4,4,1,1,1,1,1,1,1,1,4,5,4,4,4,4,4,4,4,5,5,4,4,5,4,5
R0133,Male,31-35,Master's,2-5 yrs,Medium (500-2000),Software Products,Senior/Managerial,4,4,5,5,5,4,5,5,4,4,4,5,5,4,4,5,5,4,5,3,4,3,4,2,4,3,4,3,4,3,5,5,4,4,4,4,5,4,3,4,4,2,4,3,3,3,3,2,3,2,3,3,3,3
R0134,Male,21-25,Master's,11-15 yrs,Medium (500-2000),AI/ML Firms,Mid-level,3,3,4,3,4,3,3,2,3,3,2,3,3,5,3,3,3,3,4,4,4,4,5,4,4,4,2,4,4,4,5,5,5,5,4,5,5,5,3,3,3,2,2,3,5,5,5,5,4,5,4,5,5,5
R0135,Male,31-35,Bachelor's,2-5 yrs,Large (>2000),Digital Enterprises,Leadership,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,3,2,2,2,2,2,2,5,5,5,5,5,5,5,5,2,3,3,3,3,3,3,2,3,3,3,2,3,3,3,2
R0136,Female,26-30,Bachelor's,<2 yrs,Large (>2000),IT Services/ITES,Entry-level,1,2,1,1,1,1,2,2,2,2,3,2,1,2,2,1,2,2,3,3,3,2,3,3,2,3,2,2,3,2,5,3,4,5,3,5,4,4,2,4,3,3,3,4,2,3,3,5,3,3,3,3,4,3
R0137,Female,21-25,Master's,6-10 yrs,Large (>2000),Software Products,Mid-level,4,4,4,4,4,4,4,4,5,5,5,4,4,3,4,3,4,3,4,3,4,4,4,4,3,4,4,4,3,4,3,4,3,3,4,5,4,4,4,4,3,3,2,3,4,5,5,4,5,5,4,5,4,4
R0138,Male,46+,Bachelor's,11-15 yrs,Small (<500),IT Services/ITES,Entry-level,5,5,4,4,4,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,2,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
R0139,Female,31-35,Bachelor's,>15 yrs,Small (<500),IT Services/ITES,Mid-level,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,4,3,3,4,2,4,5,5,4,4,5,5,5,5,2,2,2,2,1,2,5,5,5,4,4,4,5,5,4,5
R0140,Female,26-30,Master's,>15 yrs,Medium (500-2000),IT Services/ITES,Mid-level,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
R0141,Female,21-25,Master's,6-10 yrs,Small (<500),IT Services/ITES,Mid-level,5,5,3,4,3,4,4,3,5,4,4,3,4,4,3,3,4,4,1,1,1,2,2,2,2,2,2,2,2,1,2,3,3,2,3,4,3,2,3,2,4,3,4,3,4,4,3,3,4,3,4,4,4,3
R0142,Female,41-45,Master's,6-10 yrs,Small (<500),Software Products,Entry-level,2,1,2,1,2,1,2,2,2,3,2,1,2,2,2,1,2,2,2,2,2,3,1,1,2,3,2,1,3,3,5,5,5,5,5,5,5,5,4,4,5,4,4,3,3,4,3,4,4,3,3,4,3,3
R0143,Female,41-45,Master's,6-10 yrs,Medium (500-2000),Software Products,Entry-level,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,5,4,5,5,4,4,5,5,3,4,5,5,5,5,5,5,5,5,2,1,1,1,1,1,2,2,2,2,2,3,2,2,2,2
R0144,Male,26-30,Master's,6-10 yrs,Large (>2000),IT Services/ITES,Leadership,4,4,4,3,4,5,3,3,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,4,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
R0145,Male,31-35,Master's,2-5 yrs,Large (>2000),Software Products,Senior/Managerial,2,3,1,1,2,2,2,2,3,1,2,1,1,2,2,2,2,3,3,3,3,3,3,3,4,3,3,4,4,3,2,2,2,2,2,2,2,3,5,5,5,5,5,5,4,4,4,3,5,3,3,4,4,4
R0146,Male,31-35,Master's,6-10 yrs,Large (>2000),AI/ML Firms,Senior/Managerial,3,3,3,3,2,3,3,4,2,4,3,3,2,3,2,3,2,3,2,3,1,1,2,2,3,2,2,3,2,3,4,5,5,4,5,4,5,4,4,5,5,4,4,4,4,4,4,3,3,4,4,3,4,4
R0147,Female,21-25,Bachelor's,>15 yrs,Small (<500),AI/ML Firms,Senior/Managerial,3,3,3,3,2,3,2,2,2,3,1,3,3,2,3,3,3,2,3,3,3,3,4,4,4,3,4,4,3,4,4,5,5,4,5,4,5,4,1,2,1,1,1,2,1,1,2,3,2,2,2,2,1,1
R0148,Male,31-35,Bachelor's,2-5 yrs,Large (>2000),IT Services/ITES,Senior/Managerial,4,4,4,3,3,2,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,4,3,2,5,4,5,5,5,4,4,4,5,5,4,5,5,5,3,2,2,3,3,2,3,3,3,4
R0149,Female,26-30,Bachelor's,2-5 yrs,Medium (500-2000),Digital Enterprises,Entry-level,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,4,4,5,4,4,3,5,4,4,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5
R0150,Male,26-30,Bachelor's,<2 yrs,Medium (500-2000),IT Services/ITES,Leadership,4,4,4,4,4,5,4,3,3,4,4,4,2,4,3,4,4,4,3,3,3,4,3,3,4,4,3,3,3,4,5,4,4,5,5,4,5,5,1,1,1,2,1,1,4,4,4,3,4,4,4,4,4,4
R0151,Male,31-35,Bachelor's,2-5 yrs,Medium (500-2000),AI/ML Firms,Mid-level,3,3,4,3,3,3,3,4,3,4,3,4,3,4,2,3,3,3,3,3,3,4,5,4,4,3,4,4,3,4,4,4,5,4,5,4,5,5,4,4,4,2,4,3,1,3,2,2,2,2,2,2,2,1
R0152,Male,26-30,Bachelor's,6-10 yrs,Large (>2000),IT Services/ITES,Mid-level,2,2,1,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,3,1,1,2,2,2,2,2,2,2,5,5,4,4,5,4,4,4,3,4,4,4,3,5,3,5,3,4,3,4,4,4,4,4
R0153,Female,31-35,Bachelor's,2-5 yrs,Small (<500),AI/ML Firms,Senior/Managerial,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,1,2,1,2,2,1,1,2,4,3,3,4,3,4,3,3,3,4,4,4,4,3,1,1,1,1,2,1,1,2,2,3
R0154,Male,26-30,Master's,6-10 yrs,Large (>2000),IT Services/ITES,Mid-level,3,3,3,2,3,4,2,3,3,2,3,4,2,2,2,3,2,2,1,2,2,2,1,2,2,1,3,2,2,2,1,1,1,1,1,1,1,2,4,3,4,3,4,3,4,4,4,4,4,5,4,5,4,4
R0155,Female,31-35,Bachelor's,11-15 yrs,Medium (500-2000),IT Services/ITES,Mid-level,4,3,2,3,3,4,3,3,3,4,3,4,4,4,4,3,4,3,4,4,3,4,4,4,3,4,4,4,4,4,5,4,3,4,3,4,4,4,4,5,4,4,4,4,5,4,4,3,4,4,4,4,4,4
R0156,Female,41-45,Bachelor's,2-5 yrs,Medium (500-2000),IT Services/ITES,Senior/Managerial,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,4,4,3,4,3,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
R0157,Male,31-35,Master's,11-15 yrs,Large (>2000),IT Services/ITES,Mid-level,4,3,3,4,4,4,4,3,4,4,4,3,3,4,4,4,5,4,3,4,3,5,4,3,3,4,4,3,4,3,2,1,1,2,3,2,2,2,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5
R0158,Female,31-35,Master's,11-15 yrs,Large (>2000),IT Services/ITES,Mid-level,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4
R0159,Female,31-35,Master's,6-10 yrs,Medium (500-2000),Digital Enterprises,Leadership,3,3,2,3,3,3,2,2,3,3,3,3,3,3,3,2,2,2,4,3,3,4,4,3,3,4,3,4,3,3,5,5,5,5,5,5,5,5,3,3,3,4,3,3,3,3,2,3,3,3,2,2,3,1
R0160,Female,41-45,Bachelor's,2-5 yrs,Medium (500-2000),IT Services/ITES,Senior/Managerial,2,1,2,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,3,3,2,2,2,3,3,3,3,3,3,5,5,5,5,5,5,5,5,3,4,3,3,4,3,3,3,3,3,2,3,3,2,3,2
R0161,Male,36-40,Master's,>15 yrs,Medium (500-2000),IT Services/ITES,Senior/Managerial,2,3,2,1,2,2,1,2,1,2,2,2,2,1,1,1,2,2,3,4,3,5,4,4,4,4,3,4,4,4,5,4,4,4,3,3,5,4,1,1,1,1,1,2,4,5,4,5,4,4,5,4,5,4
R0162,Female,21-25,Master's,2-5 yrs,Large (>2000),IT Services/ITES,Mid-level,1,2,3,3,2,2,2,2,3,3,3,3,3,3,2,1,2,2,3,3,3,3,2,3,2,2,3,3,3,2,5,5,5,5,5,5,5,5,4,3,4,3,4,4,1,2,2,1,1,2,2,2,1,1
R0163,Female,21-25,Bachelor's,<2 yrs,Large (>2000),AI/ML Firms,Senior/Managerial,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,3,4,4
R0164,Female,31-35,Bachelor's,2-5 yrs,Large (>2000),AI/ML Firms,Senior/Managerial,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,3,2,5,5,5,5,5,5,5,5,5,5,5,5,3,3,4,3,3,4,4,3,2,2,3,1,1,2,5,5,5,4,5,5,5,4,5,4
R0165,Male,36-40,Bachelor's,11-15 yrs,Large (>2000),IT Services/ITES,Senior/Managerial,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,3,3,4,3,4,3,3,4,4,4,3,3,2,2,2,2,2,3,2,3,4,5,5,5,4,5,3,4,3,3,2,4,3,4,4,4
R0166,Female,21-25,Bachelor's,2-5 yrs,Large (>2000),Software Products,Entry-level,2,2,1,2,1,2,2,2,2,2,1,2,2,3,2,2,2,2,3,3,2,3,3,2,2,2,4,3,3,2,4,4,4,4,4,3,4,5,3,1,2,2,2,2,3,3,3,4,2,2,2,2,3,2
R0167,Female,31-35,Bachelor's,6-10 yrs,Large (>2000),Digital Enterprises,Mid-level,5,4,5,4,5,5,5,5,5,4,5,5,5,5,4,4,5,5,4,4,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4,4,3,2,3,3,3,3,3,3,2,3,3,4,3,3,3,4
R0168,Male,31-35,Bachelor's,6-10 yrs,Small (<500),Digital Enterprises,Mid-level,4,4,4,5,4,5,4,4,4,3,4,5,4,4,4,4,4,5,4,4,5,5,4,4,3,4,4,4,5,4,3,2,2,2,2,2,2,3,5,5,5,5,5,5,3,3,4,4,4,4,4,4,4,3
R0169,Female,31-35,Master's,6-10 yrs,Medium (500-2000),Digital Enterprises,Leadership,2,3,4,3,4,3,4,3,3,3,3,4,4,3,3,3,4,2,3,2,1,2,2,2,3,3,2,1,2,2,3,4,4,5,4,4,5,3,4,3,3,3,2,3,3,3,1,3,4,3,3,2,3,3
R0170,Male,36-40,Master's,6-10 yrs,Medium (500-2000),IT Services/ITES,Mid-level,3,4,3,4,3,3,3,3,3,2,4,4,4,3,5,3,3,4,5,4,5,5,5,5,5,5,5,5,5,5,4,3,4,4,4,4,3,2,4,5,5,3,4,4,5,5,5,5,5,5,4,4,4,5
R0171,Male,26-30,Master's,2-5 yrs,Medium (500-2000),Software Products,Senior/Managerial,3,2,2,2,3,2,2,1,2,3,2,2,3,2,2,2,2,3,3,3,3,3,2,2,4,3,4,3,4,3,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,2,3,2,2,3,2,2,2,2
R0172,Female,31-35,Doctorate,6-10 yrs,Medium (500-2000),Digital Enterprises,Mid-level,4,3,4,4,4,3,4,4,5,4,4,3,4,4,4,4,4,4,4,3,3,3,3,3,4,2,4,3,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
R0173,Male,36-40,Bachelor's,<2 yrs,Large (>2000),Software Products,Mid-level,3,3,3,4,2,2,4,3,3,3,2,3,2,3,4,2,4,2,4,5,4,4,5,4,5,5,3,5,5,5,4,4,4,5,4,3,4,4,5,5,5,5,4,4,3,4,3,4,3,2,3,3,3,3
R0174,Male,46+,Master's,2-5 yrs,Large (>2000),Software Products,Mid-level,1,3,2,1,1,2,2,2,1,1,3,1,1,1,2,2,2,2,3,3,4,4,4,3,4,4,3,4,3,3,4,3,3,3,3,3,3,4,4,3,2,2,2,3,3,3,4,3,2,3,3,3,2,2
